sourcePostId,title,proposedCollection,severity,message
545,1914 enfants étaient officiellement encore en prison en Turquie en Juillet,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
554,Sentenced to death in Turkish jails,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=554, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-10-22.30.07.png)"
554,Sentenced to death in Turkish jails,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
560,Erdogans absurde Hatz auf Gülenisten Selbst Autokennzeichen machen verdächtig,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=560, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-10-23.20.04.png)"
560,Erdogans absurde Hatz auf Gülenisten Selbst Autokennzeichen machen verdächtig,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
565,"Lage in türkischen Gefängnissen""Sie stapeln sie übereinander""",basinda,warning,"Öne çıkan görselin alt metni boş (post_id=565, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-10-23.35.42.png)"
565,"Lage in türkischen Gefängnissen""Sie stapeln sie übereinander""",basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
635,Mahpusun el kitabı,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=635, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-11-22.25.44.png)"
635,Mahpusun el kitabı,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
651,AİHM'den 3. Karar: Tahliye Umudu Olmayan Hapis Cezası Hak İhlalidir,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=651, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-11-22.58.14.png)"
651,AİHM'den 3. Karar: Tahliye Umudu Olmayan Hapis Cezası Hak İhlalidir,yazilar,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
654,“Mesai Saatleri Dışında Hastalanmak Yasak”,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=654, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-11-23.05.42.png)"
654,“Mesai Saatleri Dışında Hastalanmak Yasak”,yazilar,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
